"parameter","mean","sd","0.025quant","0.5quant","0.975quant","mode","N"
"(Intercept)",1.00903682358141,0.0915247604715576,0.828693855450691,1.00924537318373,1.18805995777087,1.00967359325667,100
"x",0.49713023955115,0.0161485880425403,0.465455920660876,0.497117443983258,0.528845273065955,0.497092310614776,100
"Precision for nu",18196.5421220135,17167.5960065708,463.673254499114,12899.7931010635,64489.6553033803,280.469622016998,100
"(Intercept)",1.00532017543237,0.0538456344773605,0.899351567258994,1.00538737232934,1.11081437534191,1.00552573937842,500
"x",0.497712442006115,0.0099593347462775,0.478152860548793,0.497710507432874,0.517263897663887,0.497707716642509,500
"Precision for nu",77.3311793240931,16.0255429789611,52.629549413935,74.9787017964535,115.5345977422,70.9082780097245,500
"(Intercept)",1.00992818374762,0.0155388116293779,0.979392514808271,1.00993668635566,1.04038869045164,1.0099550650434,5000
"x",0.496871774470723,0.00286175474563725,0.491254857052188,0.496871008347419,0.50248776697513,0.496869715037196,5000
"Precision for nu",103.150877269313,7.68117401582616,89.3615203259165,102.705895206946,119.494095153373,101.802900351975,5000
"(Intercept)",0.987621833597129,0.00679782927415088,0.974269882542775,0.987623474902896,1.00095247422338,0.987627346415372,25000
"x",0.501934095751348,0.00124515672680878,0.499489845627635,0.501933909491664,0.504377140321521,0.50193364102386,25000
"Precision for nu",104.894894877563,3.44159291058583,98.3640136303635,104.808737924633,111.883122231281,104.605777017903,25000
