"X","time_rstan","time_rinla","alpha_mean_diff_stan","beta_mean_diff_stan","tau_nu_mean_diff_stan","alpha_q_stan","beta_q_stan","tau_nu_q_stan","alpha_mean_diff_inla","beta_mean_diff_inla","tau_nu_mean_diff_inla","alpha_q_inla","beta_q_inla","tau_nu_q_inla"
"Total",4.896,0.987462997436523,0.00501668624193297,-0.00176627129825424,-0.793803368326195,0.4605,0.57025,0.53225,0.00635589843116269,-0.00196908167118393,1.1467298153801,0.458870547688112,0.569141896002692,0.520842422323422
"Total1",2.11,0.895732164382935,-0.00999769367055547,0.0021179306930923,-125.930085319373,0.563,0.4365,0.94175,-0.00681070768930359,0.00149733927427065,-125.388190051018,0.531798530522735,0.465778675263824,0.941560680455236
"Total2",4.764,1.01657700538635,-0.00926863263480393,0.00316515977231502,3.90443184066714,0.582,0.364,0.5145,-0.0118709128136595,0.00373539027974834,3.68224489774383,0.603306671942392,0.339320403761277,0.524191998476086
"Total3",0.757,1.02051591873169,0.524252557402076,-0.103439119069297,-67.4916322461041,0.0785,0.9145,0.74775,0.530272105425597,-0.103250823207259,-65.258330556727,0.0739331718485326,0.915238448728587,0.744614444217391
"Total4",0.761,1.26588201522827,0.062644963828274,-0.00295171410416498,69.5373158801294,0.423,0.52,0.38075,0.0630620956490913,-0.00189076286148993,68.9106877270841,0.419164965529415,0.512115056260658,0.383400076779804
"Total5",1.728,0.976516008377075,-0.0416191838065747,0.00805049885097264,-85.1891185859966,0.61575,0.38225,0.98375,-0.0382482511052972,0.00738109352524297,-86.2368664925913,0.605003029057395,0.393966346961256,0.985901255096769
"Total6",0.64,1.05773591995239,0.0806987759828873,0.0416455548455112,116.137456569203,0.4065,0.29075,0.21,0.0722730893062892,0.0466471772874567,112.73212055024,0.415241524890903,0.260152922268933,0.220654560144291
"Total7",3.197,1.0343451499939,0.00515759006352901,-0.00165815912949219,-46.9540110317162,0.46625,0.55625,0.975,0.00364891895165043,-0.00128348575257631,-46.9884763729274,0.484962588765557,0.531733313582708,0.968259725329493
"Total8",1.658,0.907947063446045,-0.244665579236161,0.0433404426201341,-16.2623746706701,0.9675,0.0445,0.81525,-0.240424355345696,0.0424713042761845,-15.1450773428562,0.967379626479812,0.0457265737280125,0.801232403373737
"Total9",0.7,0.907127857208252,0.471504873095224,-0.089759154800412,-127.164596939913,0.06375,0.937,0.84275,0.474246645399542,-0.0889071774672354,-126.014584923988,0.0534919216115345,0.943098881743305,0.838361913091857
"Total10",0.851,0.935264110565186,-0.0666490638768659,-0.0158728397404646,126.673104837608,0.593,0.622,0.14575,-0.063570959787736,-0.0159782377933186,127.244110800162,0.592895150639847,0.619900867284201,0.157600936056903
"Total11",2.184,1.0312831401825,-0.00309156049833292,-0.000961759641723736,3.59883046188601,0.51025,0.51925,0.532,-0.00210645170787471,-0.00113024808864026,4.25356168976602,0.506620713180139,0.522119859619776,0.514114556464837
"Total12",0.747,0.911689043045044,0.108175706550479,-0.00793398101760452,-16.5644568896548,0.3795,0.54,0.632,0.107580086438765,-0.00697270791641286,-17.208560563953,0.3826060305139,0.537453499666341,0.642466267573581
"Total13",0.895,0.912140130996704,0.360225949095888,-0.0626870035015298,101.224288858494,0.0515,0.94275,0.27425,0.367589153425643,-0.0634630972998362,97.0161411769238,0.0514192741959144,0.942787098306652,0.278701529488829
"Total14",1.191,0.981099843978882,0.181791567158269,-0.0286061327969117,-32.9739060853973,0.0665,0.90775,0.6565,0.180171361959249,-0.0282114896386196,-36.8816984403943,0.0731299185829485,0.897621547348619,0.665747273437359
"Total15",1.454,0.929789066314697,-0.07019057043434,0.0151749237437729,30.0308658243272,0.73425,0.22275,0.49325,-0.0722768733039942,0.0157187158776262,25.1425423518878,0.744229925670649,0.217585023974598,0.505008746509956
"Total16",2.614,1.03410005569458,0.0122740041027203,0.00107678482962081,-17.8063707744409,0.4695,0.48825,0.9665,0.0215718847761143,-0.000890377087171657,-17.887873566161,0.453213287348719,0.508640195052742,0.965539121875467
"Total17",1.451,0.931343078613281,-0.291309005731053,0.0468083695663551,7.60933395175701,0.98675,0.0275,0.56775,-0.291128979835513,0.0468507013949866,6.54667364024115,0.98436451033268,0.027982459647032,0.57313352758908
"Total18",1.542,0.878283023834229,-0.00392388322158332,-0.00116031711242537,-10.384232833384,0.52025,0.52775,0.58875,-0.00444228197013929,-0.00101079450078034,-12.1508487582407,0.522364910780542,0.533612909141559,0.598432506905267
"Total19",0.552,0.923870086669922,-0.124939574204711,0.0107302858982395,-339.894719338339,0.634,0.4415,0.97025,-0.127415579294062,0.0130749987420493,-338.581020229686,0.633142755028686,0.432814534541417,0.971726471926656
"Total20",0.914,0.91832709312439,0.113401462036162,-0.0182388936652121,111.580040293974,0.286,0.68275,0.21475,0.11305331511906,-0.0177698960754235,110.682784601157,0.288086794220143,0.683109233178617,0.217070617648389
"Total21",1.895,0.863800048828125,0.0924334680184509,-0.0183132544332072,130.309743542032,0.1535,0.8555,0.08,0.0933130048143722,-0.0183614736982869,125.109669202996,0.146749835238691,0.859542552175362,0.0910456661991379
