"parameter","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat","N"
"alpha",1.01355893292369,0.00207702009953966,0.0989777568738889,0.820094032496054,0.947098821609687,1.01388800781224,1.07950434310581,1.20692132016271,2270.87806761287,1.00021820755203,100
"beta",0.495538965363547,0.000377723770686821,0.0176988491029088,0.46092295747117,0.483747689697815,0.49552284059419,0.507225475597856,0.530075420596087,2195.54033570493,1.00054644935536,100
"tau_nu",162.00160836062,1.64843803578386,82.7700473384093,63.0967390571406,104.187307070434,140.983736487393,194.986264482592,379.627152770581,2521.16432740593,1.00134372512563,100
"alpha",1.00462840126064,0.000877743687453468,0.0555133850837584,0.898377995525128,0.967519032736419,1.00466272228518,1.04182246809844,1.11329145042999,4000,0.999438186740136,500
"beta",0.497752223281905,0.000162378520625732,0.0102697193653189,0.477941848864899,0.491012638880061,0.497828517286972,0.504664264464376,0.517578505917419,4000,0.999458921232053,500
"tau_nu",71.6301529889813,0.311860190541337,13.826481196172,50.3492411525583,61.9985982617336,69.7416906568305,79.2647320399038,103.998137160754,1965.63761750788,0.999741792865165,500
"alpha",1.00992956758379,0.000252327053142597,0.0159585640641791,0.978183551207675,0.999270651251243,1.00977317355419,1.02058613364252,1.04163494109503,4000,0.999910372444592,5000
"beta",0.496858984663004,4.62484507434383e-05,0.00292500885206745,0.491039920768922,0.494909008397071,0.49687242832317,0.498838329081419,0.502553398966957,4000,1.00001215707121,5000
"tau_nu",101.548580539924,0.169457328609443,7.46557158520127,88.0352187763901,96.3444878298599,101.166320081611,106.224669288533,117.281501817364,1940.91008575681,1.00115229225244,5000
"alpha",0.987470665748378,0.000127254621339418,0.00668637579967672,0.97420555758989,0.983034802691871,0.987596148400463,0.99192280158955,1.00020354941752,2760.79676809666,0.999524744641164,25000
"beta",0.501956573812148,2.36912596983253e-05,0.0012195085369724,0.499545083293564,0.501129052116888,0.501938301665598,0.502773423078674,0.504352074774035,2649.67972714368,0.999677912883812,25000
"tau_nu",104.35994244507,0.0982439468778797,3.53919384634743,97.8704049523203,101.88283093114,104.289875013818,106.608938877016,111.761890241313,1297.76810725295,1.00337639700932,25000
